symbol,entry_date,exit_date,entry_price,exit_price,quantity,direction,profit,profit_percent,trade_outcome,exit_reason
AMD,2025-04-02,2025-04-03,121.02,118.42,10,short,26.0,2.15,win,take_profit
TSLA,2025-04-02,2025-04-03,227.9,232.72,10,short,-48.2,-2.11,loss,stop_loss
NVDA,2025-04-02,2025-04-03,452.78,434.76,10,long,-180.2,-3.98,loss,stop_loss
INTC,2025-04-01,2025-04-04,34.65,36.99,10,long,23.4,6.75,win,take_profit
META,2025-04-01,2025-04-03,331.65,330.24,10,short,14.1,0.43,win,take_profit
PLTR,2025-04-01,2025-04-02,24.85,24.41,10,short,4.4,1.77,win,take_profit
PLTR,2025-03-31,2025-04-03,24.9,24.32,10,long,-5.8,-2.33,loss,stop_loss
GOOGL,2025-03-31,2025-04-02,139.86,143.77,10,long,39.1,2.8,win,take_profit
QQQ,2025-03-31,2025-04-02,382.85,368.97,10,long,-138.8,-3.63,loss,stop_loss
GOOGL,2025-03-30,2025-04-02,141.47,154.12,10,long,126.5,8.94,win,take_profit
NVDA,2025-03-30,2025-04-01,441.05,443.88,10,short,-28.3,-0.64,loss,stop_loss
AMD,2025-03-30,2025-04-02,120.34,126.38,10,long,60.4,5.02,win,take_profit
TSLA,2025-03-29,2025-03-31,226.93,217.08,10,long,-98.5,-4.34,loss,stop_loss
PLTR,2025-03-29,2025-03-31,24.84,26.91,10,long,20.7,8.33,win,take_profit
INTC,2025-03-29,2025-03-30,35.27,37.25,10,long,19.8,5.61,win,take_profit
SPY,2025-03-28,2025-03-31,448.63,446.51,10,long,-21.2,-0.47,loss,stop_loss
AMZN,2025-03-28,2025-03-30,133.25,128.35,10,short,49.0,3.68,win,take_profit
INTC,2025-03-28,2025-03-31,34.93,34.07,10,long,-8.6,-2.46,loss,stop_loss
PLTR,2025-03-27,2025-03-28,24.81,24.95,10,short,-1.4,-0.56,loss,stop_loss
TSLA,2025-03-27,2025-03-29,229.6,219.58,10,long,-100.2,-4.36,loss,stop_loss
SPY,2025-03-27,2025-03-30,470.7,498.79,10,long,280.9,5.97,win,take_profit
AMZN,2025-03-26,2025-03-29,132.26,131.98,10,long,-2.8,-0.21,loss,stop_loss
AMD,2025-03-26,2025-03-29,119.14,113.96,10,long,-51.8,-4.35,loss,stop_loss
PLTR,2025-03-26,2025-03-27,24.67,25.09,10,short,-4.2,-1.7,loss,stop_loss
PLTR,2025-03-25,2025-03-28,25.0,26.27,10,long,12.7,5.08,win,take_profit
AAPL,2025-03-25,2025-03-26,179.64,190.07,10,long,104.3,5.81,win,take_profit
JPM,2025-03-25,2025-03-28,202.94,209.73,10,short,-67.9,-3.35,loss,stop_loss
NVDA,2025-03-24,2025-03-26,442.6,433.56,10,long,-90.4,-2.04,loss,stop_loss
GOOGL,2025-03-24,2025-03-26,138.17,133.32,10,short,48.5,3.51,win,take_profit
AMD,2025-03-24,2025-03-25,120.18,119.8,10,long,-3.8,-0.32,loss,stop_loss
INTC,2025-03-23,2025-03-26,34.49,33.91,10,short,5.8,1.68,win,take_profit
META,2025-03-23,2025-03-25,331.69,333.77,10,long,20.8,0.63,win,take_profit
TSLA,2025-03-23,2025-03-24,226.61,225.95,10,long,-6.6,-0.29,loss,stop_loss
MSFT,2025-03-22,2025-03-24,315.38,323.1,10,long,77.2,2.45,win,take_profit
JPM,2025-03-22,2025-03-25,198.83,209.93,10,long,111.0,5.58,win,take_profit
QQQ,2025-03-22,2025-03-23,379.1,366.14,10,long,-129.6,-3.42,loss,stop_loss
AMD,2025-03-21,2025-03-24,119.37,109.93,10,short,94.4,7.91,win,take_profit
JPM,2025-03-21,2025-03-23,200.78,217.18,10,long,164.0,8.17,win,take_profit
AAPL,2025-03-21,2025-03-22,181.82,192.95,10,long,111.3,6.12,win,take_profit
